SOURCE: Related article,METHODS: Sampling/Analysis,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,DEPTH (m),Trichodesmium Colonies (x103 m-3),Trichodesmium Free trichomes (x106 m-3),Trichodesmium Total Trichomes (x106 m-3),UCYN-A Cells (x106 m-3),UCYN-B Cells (x106 m-3),UCYN-C Cells (x106 m-3),UCYN Cells (x106 m-3),Richelia Associated Species,Richelia intracellularis (x106 m-3),Calothrix Associated Species,Calothrix intracellularis  (x106 m-3),Temperature (˚C),Salinity (PSU),Nitrate (µM),Phosphate (µM),Fe (nM),Chlorophyll  (mg m-3),Notes
"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,7/9/1974,13.20,-59.70,0,,,0.67,,,,,,,,,27.50,32.67,,,,0.12,
,Standard Light Microscopy,7/9/1974,13.20,-59.70,5,,,0.58,,,,,,,,,27.50,32.79,,,,,
,Standard Light Microscopy,7/9/1974,13.20,-59.70,10,,,0.69,,,,,,,,,27.50,32.54,,,,0.20,
,Standard Light Microscopy,7/9/1974,13.20,-59.70,15,,,0.51,,,,,,,,,27.50,32.80,,,,0.14,
,Standard Light Microscopy,7/9/1974,13.20,-59.70,25,,,0.43,,,,,,,,,27.00,33.48,,,,0.19,
,Standard Light Microscopy,7/9/1974,13.20,-59.70,50,,,0.04,,,,,,,,,26.10,35.88,,,,0.17,
,Standard Light Microscopy,7/9/1974,13.20,-59.70,75,,,0.01,,,,,,,,,25.20,36.48,,,,0.11,
,Standard Light Microscopy,7/9/1974,13.20,-59.70,100,,,0.00,,,,,,,,,24.90,36.77,,,,0.04,
,Standard Light Microscopy,7/9/1974,13.20,-59.70,175,,,0.00,,,,,,,,,20.20,36.88,,,,0.01,
,Standard Light Microscopy,7/23/1974,13.20,-59.70,0,,,0.16,,,,,,,,,28.40,32.28,,,,0.10,
,Standard Light Microscopy,7/23/1974,13.20,-59.70,5,,,0.59,,,,,,,,,28.40,32.38,,,,0.12,
,Standard Light Microscopy,7/23/1974,13.20,-59.70,10,,,0.35,,,,,,,,,28.20,32.58,,,,0.11,
,Standard Light Microscopy,7/23/1974,13.20,-59.70,15,,,0.26,,,,,,,,,28.20,32.94,,,,0.19,
,Standard Light Microscopy,7/23/1974,13.20,-59.70,25,,,0.16,,,,,,,,,27.90,33.63,,,,0.21,
,Standard Light Microscopy,7/23/1974,13.20,-59.70,50,,,0.00,,,,,,,,,27.20,35.27,,,,0.40,
,Standard Light Microscopy,7/23/1974,13.20,-59.70,75,,,0.00,,,,,,,,,25.70,36.51,,,,0.17,
,Standard Light Microscopy,7/23/1974,13.20,-59.70,100,,,0.00,,,,,,,,,25.50,36.78,,,,0.07,
,Standard Light Microscopy,7/23/1974,13.20,-59.70,150,,,0.00,,,,,,,,,24.30,37.07,,,,0.02,
,Standard Light Microscopy,7/23/1974,13.20,-59.70,175,,,0.00,,,,,,,,,22.40,36.94,,,,0.01,
,Standard Light Microscopy,8/7/1974,13.20,-59.70,0,,,0.67,,,,,,,,,27.90,33.45,,,,0.07,
,Standard Light Microscopy,8/7/1974,13.20,-59.70,5,,,0.80,,,,,,,,,27.90,33.51,,,,0.07,
,Standard Light Microscopy,8/7/1974,13.20,-59.70,10,,,0.67,,,,,,,,,27.90,33.55,,,,0.08,
,Standard Light Microscopy,8/7/1974,13.20,-59.70,15,,,0.75,,,,,,,,,27.90,33.58,,,,0.08,
,Standard Light Microscopy,8/7/1974,13.20,-59.70,25,,,0.76,,,,,,,,,27.90,34.02,,,,0.09,
,Standard Light Microscopy,8/7/1974,13.20,-59.70,50,,,0.14,,,,,,,,,26.00,35.95,,,,0.14,
,Standard Light Microscopy,8/7/1974,13.20,-59.70,75,,,0.01,,,,,,,,,25.20,36.76,,,,0.10,
,Standard Light Microscopy,8/7/1974,13.20,-59.70,100,,,0.00,,,,,,,,,24.40,36.87,,,,0.05,
,Standard Light Microscopy,8/7/1974,13.20,-59.70,150,,,0.00,,,,,,,,,21.30,36.87,,,,0.02,
,Standard Light Microscopy,8/7/1974,13.20,-59.70,175,,,0.00,,,,,,,,,19.20,36.50,,,,0.02,
,Standard Light Microscopy,8/21/1974,13.20,-59.70,0,,,0.29,,,,,,,,,27.80,33.66,,,,0.15,
,Standard Light Microscopy,8/21/1974,13.20,-59.70,5,,,0.27,,,,,,,,,27.80,33.69,,,,0.18,
,Standard Light Microscopy,8/21/1974,13.20,-59.70,10,,,0.30,,,,,,,,,27.80,33.75,,,,0.18,
,Standard Light Microscopy,8/21/1974,13.20,-59.70,15,,,0.63,,,,,,,,,27.90,33.84,,,,0.15,
,Standard Light Microscopy,8/21/1974,13.20,-59.70,25,,,0.47,,,,,,,,,27.90,34.02,,,,0.10,
,Standard Light Microscopy,8/21/1974,13.20,-59.70,50,,,0.03,,,,,,,,,27.20,35.95,,,,0.11,
,Standard Light Microscopy,8/21/1974,13.20,-59.70,75,,,0.00,,,,,,,,,25.80,36.37,,,,0.13,
,Standard Light Microscopy,8/21/1974,13.20,-59.70,100,,,0.01,,,,,,,,,25.00,36.74,,,,0.08,
,Standard Light Microscopy,8/21/1974,13.20,-59.70,150,,,0.00,,,,,,,,,21.50,36.84,,,,0.02,
,Standard Light Microscopy,8/21/1974,13.20,-59.70,175,,,0.01,,,,,,,,,20.30,36.73,,,,0.01,
,Standard Light Microscopy,9/3/1974,13.20,-59.70,0,,,0.08,,,,,,,,,28.30,33.11,,,,0.04,
,Standard Light Microscopy,9/3/1974,13.20,-59.70,5,,,0.12,,,,,,,,,28.20,33.20,,,,0.04,
,Standard Light Microscopy,9/3/1974,13.20,-59.70,10,,,0.21,,,,,,,,,28.30,33.33,,,,0.06,
,Standard Light Microscopy,9/3/1974,13.20,-59.70,15,,,0.10,,,,,,,,,28.30,33.34,,,,0.08,
,Standard Light Microscopy,9/3/1974,13.20,-59.70,25,,,0.14,,,,,,,,,28.30,33.40,,,,0.06,
,Standard Light Microscopy,9/3/1974,13.20,-59.70,50,,,0.06,,,,,,,,,25.20,35.44,,,,0.10,
,Standard Light Microscopy,9/3/1974,13.20,-59.70,75,,,0.00,,,,,,,,,26.10,36.16,,,,0.10,
,Standard Light Microscopy,9/3/1974,13.20,-59.70,100,,,0.00,,,,,,,,,24.80,36.59,,,,0.05,
,Standard Light Microscopy,9/3/1974,13.20,-59.70,150,,,0.00,,,,,,,,,22.60,36.53,,,,0.03,
,Standard Light Microscopy,9/3/1974,13.20,-59.70,175,,,0.00,,,,,,,,,19.70,36.54,,,,,
,Standard Light Microscopy,9/17/1974,13.20,-59.70,0,,,0.08,,,,,,,,,28.40,33.55,,,,0.08,
,Standard Light Microscopy,9/17/1974,13.20,-59.70,5,,,0.22,,,,,,,,,28.40,33.55,,,,0.09,
,Standard Light Microscopy,9/17/1974,13.20,-59.70,10,,,0.21,,,,,,,,,28.40,33.57,,,,0.09,
,Standard Light Microscopy,9/17/1974,13.20,-59.70,15,,,0.50,,,,,,,,,28.40,33.61,,,,0.09,
,Standard Light Microscopy,9/17/1974,13.20,-59.70,25,,,0.15,,,,,,,,,28.40,33.64,,,,0.09,
,Standard Light Microscopy,9/17/1974,13.20,-59.70,50,,,0.16,,,,,,,,,27.50,35.71,,,,,
,Standard Light Microscopy,9/17/1974,13.20,-59.70,75,,,0.01,,,,,,,,,25.40,36.75,,,,,
,Standard Light Microscopy,9/17/1974,13.20,-59.70,100,,,0.00,,,,,,,,,24.30,36.73,,,,,
,Standard Light Microscopy,9/17/1974,13.20,-59.70,150,,,0.00,,,,,,,,,21.90,36.73,,,,0.02,
,Standard Light Microscopy,9/17/1974,13.20,-59.70,175,,,0.00,,,,,,,,,19.90,36.65,,,,0.01,
,Standard Light Microscopy,10/3/1974,13.20,-59.70,0,,,0.12,,,,,,,,,28.30,33.15,,,,0.14,
,Standard Light Microscopy,10/3/1974,13.20,-59.70,10,,,0.15,,,,,,,,,28.30,33.58,,,,0.14,
,Standard Light Microscopy,10/3/1974,13.20,-59.70,25,,,0.76,,,,,,,,,28.30,33.65,,,,0.14,
,Standard Light Microscopy,10/3/1974,13.20,-59.70,50,,,0.05,,,,,,,,,26.40,36.93,,,,0.22,
,Standard Light Microscopy,10/3/1974,13.20,-59.70,75,,,0.00,,,,,,,,,25.30,36.62,,,,0.08,
,Standard Light Microscopy,10/3/1974,13.20,-59.70,100,,,0.00,,,,,,,,,24.20,36.83,,,,0.05,
,Standard Light Microscopy,10/3/1974,13.20,-59.70,150,,,0.00,,,,,,,,,21.90,36.72,,,,0.02,
,Standard Light Microscopy,10/3/1974,13.20,-59.70,175,,,0.00,,,,,,,,,19.70,36.35,,,,0.00,
,Standard Light Microscopy,10/15/1974,13.20,-59.70,0,,,0.42,,,,,,,,,28.30,34.25,,,,0.10,
,Standard Light Microscopy,10/15/1974,13.20,-59.70,5,,,0.50,,,,,,,,,28.30,34.27,,,,0.10,
,Standard Light Microscopy,10/15/1974,13.20,-59.70,10,,,0.48,,,,,,,,,28.30,34.27,,,,0.11,
,Standard Light Microscopy,10/15/1974,13.20,-59.70,15,,,0.35,,,,,,,,,28.30,34.34,,,,0.11,
,Standard Light Microscopy,10/15/1974,13.20,-59.70,34,,,1.05,,,,,,,,,28.00,34.44,,,,0.15,
,Standard Light Microscopy,10/15/1974,13.20,-59.70,49,,,0.32,,,,,,,,,27.10,35.43,,,,0.19,
,Standard Light Microscopy,10/15/1974,13.20,-59.70,73,,,0.22,,,,,,,,,26.20,36.31,,,,0.10,
,Standard Light Microscopy,10/15/1974,13.20,-59.70,97,,,0.00,,,,,,,,,25.20,36.42,,,,0.10,
,Standard Light Microscopy,10/15/1974,13.20,-59.70,146,,,0.00,,,,,,,,,22.80,36.87,,,,0.02,
,Standard Light Microscopy,10/15/1974,13.20,-59.70,170,,,0.00,,,,,,,,,20.30,36.69,,,,0.02,
,Standard Light Microscopy,10/29/1974,13.20,-59.70,5,,,0.08,,,,,,,,,28.00,34.54,,,,0.11,
,Standard Light Microscopy,10/29/1974,13.20,-59.70,25,,,0.16,,,,,,,,,28.00,34.54,,,,0.14,
,Standard Light Microscopy,10/29/1974,13.20,-59.70,50,,,0.13,,,,,,,,,27.50,35.82,,,,0.20,
,Standard Light Microscopy,10/29/1974,13.20,-59.70,75,,,0.03,,,,,,,,,26.30,36.26,,,,0.14,
,Standard Light Microscopy,10/29/1974,13.20,-59.70,100,,,0.03,,,,,,,,,25.00,36.63,,,,0.05,
,Standard Light Microscopy,10/29/1974,13.20,-59.70,150,,,0.02,,,,,,,,,22.00,36.77,,,,0.04,
,Standard Light Microscopy,10/29/1974,13.20,-59.70,175,,,0.00,,,,,,,,,19.50,36.68,,,,0.02,
,Standard Light Microscopy,11/12/1974,13.20,-59.70,5,,,0.08,,,,,,,,,28.10,33.96,,,,0.07,
,Standard Light Microscopy,11/12/1974,13.20,-59.70,24,,,0.10,,,,,,,,,28.10,34.01,,,,0.05,
,Standard Light Microscopy,11/12/1974,13.20,-59.70,33,,,0.17,,,,,,,,,28.10,34.19,,,,0.08,
,Standard Light Microscopy,11/12/1974,13.20,-59.70,46,,,0.07,,,,,,,,,26.00,36.23,,,,,
,Standard Light Microscopy,11/12/1974,13.20,-59.70,68,,,0.02,,,,,,,,,25.70,36.68,,,,0.15,
,Standard Light Microscopy,11/12/1974,13.20,-59.70,91,,,0.00,,,,,,,,,24.50,37.09,,,,0.06,
,Standard Light Microscopy,11/12/1974,13.20,-59.70,137,,,0.00,,,,,,,,,23.90,36.97,,,,0.01,
,Standard Light Microscopy,11/12/1974,13.20,-59.70,160,,,0.04,,,,,,,,,22.00,36.44,,,,0.13,
,Standard Light Microscopy,11/29/1974,13.20,-59.70,5,,,0.19,,,,,,,,,27.70,34.51,,,,0.08,
,Standard Light Microscopy,11/29/1974,13.20,-59.70,15,,,0.12,,,,,,,,,27.70,34.51,,,,0.08,
,Standard Light Microscopy,11/29/1974,13.20,-59.70,25,,,1.89,,,,,,,,,27.70,34.52,,,,0.06,
