SOURCE: Related article,SOURCE: Related article,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,INTEGRAL DEPTH (m),Trichodesmium Colonies (x103 m-2),Trichodesmium Free trichomes (x106 m-2),Trichodesmium Total Trichomes (x106 m-2),UCYN Cells (x106 m-2),Richelia Associated Species,Richelia intracellularis (x106 m-2),Calothrix Associated Species,Calothrix intracellularis  (x106 m-2),Surface Temperature (˚C),Surface Salinity (PSU),Surface Nitrate (µM),Surface Phosphate (µM),Surface Fe (nM),Chlorophyll  (mg m-2),Notes
"Benavides et al. (2011), doi:10.3354/ame01534 ",Standard Light Microscopy,2009-07-26,41.50,-9.32,65,,0.000 ,0.000 ,,,,,,18.60 ,35.70 ,0.61 ,0.06 ,,0.15 ,2-3 tows performed with 50 µm net
,Standard Light Microscopy,2009-07-27,41.50,-10.58,60,,0.002 ,0.002 ,,,,,,19.75 ,35.87 ,0.13 ,0.02 ,,,2-3 tows performed with 50 µm net
,Standard Light Microscopy,2009-07-28,41.50,-12.26,62,,0.003 ,0.003 ,,,,,,19.81 ,35.99 ,0.05 ,0.02 ,,0.02 ,2-3 tows performed with 50 µm net
,Standard Light Microscopy,2009-07-30,41.50,-15.29,67,,0.001 ,0.001 ,,,,,,19.75 ,35.96 ,0.09 ,0.02 ,,,2-3 tows performed with 50 µm net
,Standard Light Microscopy,2009-07-31,41.50,-17.18,53,,0.007 ,0.007 ,,,,,,18.95 ,35.87 ,0.05 ,0.03 ,,0.40 ,2-3 tows performed with 50 µm net
,Standard Light Microscopy,2009-08-01,41.44,-19.26,55,,0.006 ,0.006 ,,,,,,19.14 ,35.89 ,0.15 ,0.05 ,,,2-3 tows performed with 50 µm net
,Standard Light Microscopy,2009-08-02,40.00,-20.00,70,,0.004 ,0.004 ,,,,,,20.35 ,36.07 ,0.05 ,0.02 ,,0.06 ,2-3 tows performed with 50 µm net
,Standard Light Microscopy,2009-08-03,37.98,-20.01,80,,0.020 ,0.020 ,,,,,,21.85 ,36.30 ,0.14 ,0.02 ,,,2-3 tows performed with 50 µm net
,Standard Light Microscopy,2009-08-04,36.50,-20.00,85,,0.004 ,0.004 ,,,,,,22.94 ,36.63 ,0.05 ,0.02 ,,0.02 ,2-3 tows performed with 50 µm net
,Standard Light Microscopy,2009-08-05,34.99,-19.97,80,,0.004 ,0.004 ,,,,,,23.96 ,36.60 ,0.08 ,0.02 ,,,2-3 tows performed with 50 µm net
,Standard Light Microscopy,2009-08-06,33.50,-20.00,105,,0.003 ,0.003 ,,,,,,23.87 ,36.95 ,0.10 ,0.02 ,,0.50 ,2-3 tows performed with 50 µm net
,Standard Light Microscopy,2009-08-07,31.50,-20.00,105,,0.018 ,0.018 ,,,,,,24.00 ,37.03 ,0.13 ,0.02 ,,,2-3 tows performed with 50 µm net
,Standard Light Microscopy,2009-08-08,30.50,-20.02,105,,0.016 ,0.016 ,,,,,,23.94 ,37.07 ,0.05 ,0.03 ,,,2-3 tows performed with 50 µm net
,Standard Light Microscopy,2009-08-09,29.85,-19.19,90,,0.010 ,0.010 ,,,,,,23.79 ,37.11 ,0.17 ,0.02 ,,,2-3 tows performed with 50 µm net
,Standard Light Microscopy,2009-08-10,29.55,-17.56,115,,0.049 ,0.049 ,,,,,,23.98 ,37.10 ,0.03 ,0.05 ,,0.03 ,2-3 tows performed with 50 µm net
,Standard Light Microscopy,2009-08-11,29.25,-15.93,110,,0.033 ,0.033 ,,,,,,23.58 ,36.98 ,0.05 ,0.04 ,,,2-3 tows performed with 50 µm net
,Standard Light Microscopy,2009-08-12,28.87,-14.10,80,,0.003 ,0.003 ,,,,,,22.61 ,36.67 ,0.05 ,0.05 ,,0.15 ,2-3 tows performed with 50 µm net
,Standard Light Microscopy,2009-07-12,41.33,-9.57,60,,0.079 ,0.079 ,,,,,,18.63 ,35.66 ,0.20 ,0.06 ,,,2-3 tows performed with 50 µm net
,Standard Light Microscopy,2009-07-13,41.29,-9.60,55,,0.016 ,0.016 ,,,,,,18.53 ,35.66 ,0.27 ,0.02 ,,,2-3 tows performed with 50 µm net
,Standard Light Microscopy,2009-07-18,41.84,-9.06,30,,0.028 ,0.028 ,,,,,,15.56 ,35.56 ,0.70 ,0.02 ,,,2-3 tows performed with 50 µm net
,Standard Light Microscopy,2009-07-19,41.61,-9.04,30,,0.093 ,0.093 ,,,,,,15.08 ,35.93 ,1.34 ,0.18 ,,,2-3 tows performed with 50 µm net
,Standard Light Microscopy,2009-08-21,31.00,-10.01,30,,0.000 ,0.000 ,,,,,,16.65 ,37.52 ,,1.36 ,,,2-3 tows performed with 50 µm net
,Standard Light Microscopy,2009-08-23,30.74,-10.65,60,,0.002 ,0.002 ,,,,,,19.34 ,36.52 ,0.76 ,0.62 ,,,2-3 tows performed with 50 µm net
,Standard Light Microscopy,2009-08-24,30.90,-10.80,60,,0.061 ,0.061 ,,,,,,19.93 ,36.37 ,1.39 ,0.72 ,,,2-3 tows performed with 50 µm net
,Standard Light Microscopy,2009-08-25,31.00,-10.91,60,,0.035 ,0.035 ,,,,,,19.77 ,36.37 ,0.41 ,0.72 ,,,2-3 tows performed with 50 µm net
,Standard Light Microscopy,2009-08-26,31.11,-10.60,60,,0.381 ,0.381 ,,,,,,20.37 ,36.11 ,2.42 ,0.78 ,,,2-3 tows performed with 50 µm net
,Standard Light Microscopy,2009-08-28,31.01,-11.31,60,,0.054 ,0.054 ,,,,,,19.96 ,36.38 ,0.06 ,0.41 ,,,2-3 tows performed with 50 µm net
,Standard Light Microscopy,2009-08-29,30.95,-11.40,60,,0.067 ,0.067 ,,,,,,20.31 ,36.41 ,1.50 ,0.36 ,,,2-3 tows performed with 50 µm net
,Standard Light Microscopy,2009-08-30,30.89,-11.45,60,,0.092 ,0.092 ,,,,,,21.15 ,36.43 ,0.76 ,0.49 ,,,2-3 tows performed with 50 µm net
"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-07-09,13.20,-59.70,175,,,20.775 ,,,,,,27.50 ,32.67 ,,,,15.85 ,
,Standard Light Microscopy,1974-07-23,13.20,-59.70,175,,,9.808 ,,,,,,28.40 ,32.28 ,,,,24.25 ,
,Standard Light Microscopy,1974-08-07,13.20,-59.70,175,,,31.630 ,,,,,,27.90 ,33.45 ,,,,11.98 ,
,Standard Light Microscopy,1974-08-21,13.20,-59.70,175,,,17.903 ,,,,,,27.80 ,33.66 ,,,,14.93 ,
,Standard Light Microscopy,1974-09-03,13.20,-59.70,175,,,6.515 ,,,,,,28.30 ,33.11 ,,,,10.25 ,
,Standard Light Microscopy,1974-09-17,13.20,-59.70,175,,,12.795 ,,,,,,28.40 ,33.55 ,,,,4.23 ,
,Standard Light Microscopy,1974-10-03,13.20,-59.70,175,,,18.915 ,,,,,,28.30 ,33.15 ,,,,15.38 ,
,Standard Light Microscopy,1974-10-15,13.20,-59.70,170,,,39.581 ,,,,,,28.30 ,34.25 ,,,,15.90 ,
,Standard Light Microscopy,1974-10-29,13.20,-59.70,175,,,10.650 ,,,,,,28.00 ,34.54 ,,,,16.93 ,
,Standard Light Microscopy,1974-11-12,13.20,-59.70,160,,,6.622 ,,,,,,28.10 ,33.96 ,,,,11.74 ,
,Standard Light Microscopy,1974-11-29,13.20,-59.70,172,,,31.828 ,,,,,,27.70 ,34.51 ,,,,11.04 ,
,Standard Light Microscopy,1974-12-10,13.20,-59.70,170,,,5.089 ,,,,,,27.40 ,34.52 ,,,,10.64 ,
,Standard Light Microscopy,1974-12-23,13.20,-59.70,175,,,10.738 ,,,,,,27.00 ,24.79 ,,,,14.50 ,
,Standard Light Microscopy,1975-01-07,13.20,-59.70,170,,,54.237 ,,,,,,26.70 ,35.27 ,,,,20.16 ,
,Standard Light Microscopy,1975-01-21,13.20,-59.70,165,,,46.030 ,,,,,,26.40 ,35.16 ,,,,18.42 ,
,Standard Light Microscopy,1975-02-04,13.20,-59.70,165,,,97.489 ,,,,,,26.00 ,35.00 ,,,,25.94 ,
,Standard Light Microscopy,1975-02-15,13.20,-59.70,170,,,3.982 ,,,,,,25.30 ,35.97 ,,,,22.80 ,
,Standard Light Microscopy,1975-03-05,13.20,-59.70,175,,,41.648 ,,,,,,25.20 ,35.16 ,,,,20.13 ,
,Standard Light Microscopy,1975-03-18,13.20,-59.70,172,,,13.631 ,,,,,,25.20 ,35.22 ,,,,15.56 ,
,Standard Light Microscopy,1975-04-01,13.20,-59.70,175,,,50.323 ,,,,,,25.40 ,34.75 ,,,,15.03 ,
,Standard Light Microscopy,1975-04-18,13.20,-59.70,166,,,39.408 ,,,,,,25.70 ,35.04 ,,,,12.98 ,
,Standard Light Microscopy,1975-04-29,13.20,-59.70,175,,,20.923 ,,,,,,25.70 ,34.18 ,,,,13.90 ,
,Standard Light Microscopy,1975-05-13,13.20,-59.70,151,,,85.824 ,,,,,,26.10 ,34.15 ,,,,18.44 ,
,Standard Light Microscopy,1975-05-21,13.20,-59.70,44,,,47.060 ,,,,,,26.30 ,33.08 ,,,,12.70 ,
,Standard Light Microscopy,1975-05-21,13.20,-59.70,4,,,47.941 ,,,,,,26.30 ,33.67 ,,,,11.84 ,
,Standard Light Microscopy,1975-05-27,13.20,-59.70,165,,,74.858 ,,,,,,,33.35 ,,,,15.24 ,
,Standard Light Microscopy,1975-06-10,13.20,-59.70,157,,,19.115 ,,,,,,,34.36 ,,,,10.76 ,
,Standard Light Microscopy,1975-06-24,13.20,-59.70,170,,,18.100 ,,,,,,,33.19 ,,,,10.37 ,
,Standard Light Microscopy,1975-07-08,13.20,-59.70,166,,,1.695 ,,,,,,,33.84 ,,,,12.92 ,
,Standard Light Microscopy,1975-08-05,13.20,-59.70,168,,,23.370 ,,,,,,27.80 ,32.25 ,,,,11.97 ,
,Standard Light Microscopy,1975-08-25,13.20,-59.70,172,,,9.315 ,,,,,,28.10 ,33.22 ,,,,10.94 ,
,Standard Light Microscopy,1975-10-15,13.20,-59.70,175,,,6.088 ,,,,,,28.20 ,34.57 ,,,,3.15 ,
,Standard Light Microscopy,1975-11-17,13.20,-59.70,175,,,7.305 ,,,,,,27.60 ,35.06 ,,,,5.88 ,
,Standard Light Microscopy,1975-12-10,13.20,-59.70,175,,,9.968 ,,,,,,27.40 ,35.65 ,,,,14.25 ,
,Standard Light Microscopy,1976-01-02,13.20,-59.70,156,,,83.371 ,,,,,,26.40 ,35.54 ,,,,26.46 ,
,Standard Light Microscopy,1976-01-19,13.20,-59.70,45,,,8.214 ,,,,,,26.10 ,35.58 ,,,,1.91 ,
,Standard Light Microscopy,1976-01-19,13.20,-59.70,50,,,11.955 ,,,,,,26.10 ,35.64 ,,,,9.30 ,
,Standard Light Microscopy,1976-02-10,13.20,-59.70,146,,,3.792 ,,,,,,25.80 ,34.89 ,,,,13.23 ,
,Standard Light Microscopy,1976-03-12,13.20,-59.70,146,,,10.807 ,,,,,,25.30 ,34.61 ,,,,6.05 ,
,Standard Light Microscopy,1976-04-15,13.20,-59.70,146,,,7.062 ,,,,,,26.50 ,34.33 ,,,,12.39 ,
,Standard Light Microscopy,1976-05-14,13.20,-59.70,143,,,23.053 ,,,,,,27.10 ,33.59 ,,,,25.84 ,
,Standard Light Microscopy,1974-07-09,13.20,-59.68,25,,,18.613 ,,,,,,27.50 ,32.61 ,,,,2.03 ,
,Standard Light Microscopy,1974-07-16,13.20,-59.68,25,,,20.640 ,,,,,,27.70 ,32.66 ,,,,2.38 ,
,Standard Light Microscopy,1974-07-23,13.20,-59.68,25,,,4.083 ,,,,,,28.00 ,32.57 ,,,,2.73 ,
,Standard Light Microscopy,1974-07-28,13.20,-59.68,15,,,13.648 ,,,,,,28.00 ,32.92 ,,,,3.85 ,
,Standard Light Microscopy,1974-08-07,13.20,-59.68,25,,,11.590 ,,,,,,27.90 ,33.24 ,,,,4.03 ,
,Standard Light Microscopy,1974-08-11,13.20,-59.68,50,,,7.545 ,,,,,,28.00 ,32.27 ,,,,6.68 ,
,Standard Light Microscopy,1974-08-21,13.20,-59.68,50,,,13.035 ,,,,,,27.60 ,33.72 ,,,,8.68 ,
,Standard Light Microscopy,1974-08-27,13.20,-59.68,50,,,11.350 ,,,,,,28.00 ,33.77 ,,,,5.28 ,
,Standard Light Microscopy,1974-09-03,13.20,-59.68,25,,,4.048 ,,,,,,28.50 ,33.18 ,,,,1.83 ,
,Standard Light Microscopy,1974-09-10,13.20,-59.68,25,,,5.280 ,,,,,,28.70 ,33.36 ,,,,2.28 ,
,Standard Light Microscopy,1974-09-17,13.20,-59.68,25,,,3.725 ,,,,,,28.50 ,33.50 ,,,,18.85 ,
,Standard Light Microscopy,1974-09-24,13.20,-59.68,50,,,9.768 ,,,,,,28.80 ,33.22 ,,,,8.58 ,
,Standard Light Microscopy,1974-10-03,13.20,-59.68,50,,,5.465 ,,,,,,28.00 ,33.45 ,,,,5.35 ,
,Standard Light Microscopy,1974-10-08,13.20,-59.68,50,,,28.148 ,,,,,,28.30 ,34.54 ,,,,6.50 ,
,Standard Light Microscopy,1974-10-15,13.20,-59.68,50,,,14.953 ,,,,,,28.30 ,34.34 ,,,,6.45 ,
,Standard Light Microscopy,1974-10-22,13.20,-59.68,50,,,16.170 ,,,,,,28.10 ,34.58 ,,,,5.65 ,
,Standard Light Microscopy,1974-10-29,13.20,-59.68,50,,,8.258 ,,,,,,28.20 ,34.58 ,,,,4.58 ,
,Standard Light Microscopy,1974-11-05,13.20,-59.68,50,,,7.775 ,,,,,,28.40 ,34.51 ,,,,5.30 ,
,Standard Light Microscopy,1974-11-12,13.20,-59.68,50,,,3.208 ,,,,,,28.10 ,34.05 ,,,,3.85 ,
,Standard Light Microscopy,1974-11-19,13.20,-59.68,47,,,5.319 ,,,,,,27.90 ,34.49 ,,,,5.74 ,
,Standard Light Microscopy,1974-11-29,13.20,-59.68,50,,,7.043 ,,,,,,27.70 ,34.40 ,,,,3.28 ,
,Standard Light Microscopy,1974-12-03,13.20,-59.68,50,,,12.350 ,,,,,,27.60 ,34.53 ,,,,4.28 ,
,Standard Light Microscopy,1974-12-10,13.20,-59.68,50,,,7.240 ,,,,,,27.60 ,34.54 ,,,,3.25 ,
,Standard Light Microscopy,1974-12-17,13.20,-59.68,50,,,2.073 ,,,,,,27.20 ,34.56 ,,,,3.18 ,
,Standard Light Microscopy,1974-12-23,13.20,-59.68,47,,,5.409 ,,,,,,27.10 ,34.85 ,,,,3.70 ,
,Standard Light Microscopy,1974-12-30,13.20,-59.68,50,,,14.150 ,,,,,,26.80 ,35.49 ,,,,4.73 ,
,Standard Light Microscopy,1975-01-07,13.20,-59.68,50,,,38.918 ,,,,,,26.50 ,35.23 ,,,,11.95 ,
,Standard Light Microscopy,1975-01-14,13.20,-59.68,50,,,18.248 ,,,,,,26.40 ,35.27 ,,,,9.45 ,
,Standard Light Microscopy,1975-01-21,13.20,-59.68,50,,,48.698 ,,,,,,26.40 ,35.14 ,,,,13.48 ,
,Standard Light Microscopy,1975-01-31,13.20,-59.68,50,,,78.225 ,,,,,,26.30 ,35.28 ,,,,14.95 ,
,Standard Light Microscopy,1975-02-04,13.20,-59.68,50,,,118.755 ,,,,,,26.20 ,35.02 ,,,,22.88 ,
,Standard Light Microscopy,1975-02-11,13.20,-59.68,50,,,4.088 ,,,,,,26.20 ,35.96 ,,,,8.50 ,
"Brzezinski et al. (1998), doi:10.3354/meps167089",Standard Light Microscopy,1995-08-22,26.00,-159.00,115,,,,,"Hemiaulus hauckii, Rhizosolenia spp.",556.500 ,,,,,,,,,Richelia counts are derived from Hemiaulus and Rhizosolenia cell counts: assuming each Hemiaulus and Rhizosolenia cell contains 2 Richelia intracellularis.
"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1973-09-17,33.90,-62.50,125,,,0.519 ,,,,,,26.54 ,36.31 ,0.23 ,0.01 ,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. Nitrate includes nitrate, nitrite plus ammonium. "
,Standard Light Microscopy,1973-09-19,32.10,-59.80,150,,,0.429 ,,,,,,26.99 ,36.57 ,0.15 ,0.06 ,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. Nitrate includes nitrate, nitrite plus ammonium. "
,Standard Light Microscopy,1973-09-20,32.40,-59.60,150,,,0.726 ,,,,,,26.95 ,36.56 ,0.09 ,0.01 ,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. Nitrate includes nitrate, nitrite plus ammonium. "
,Standard Light Microscopy,1973-09-21,32.50,-63.00,175,,,0.096 ,,,,,,27.13 ,36.20 ,0.26 ,0.00 ,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. Nitrate includes nitrate, nitrite plus ammonium. "
,Standard Light Microscopy,1973-09-28,28.10,-66.70,150,,,0.729 ,,,,,,27.40 ,36.56 ,0.09 ,0.01 ,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. Nitrate includes nitrate, nitrite plus ammonium. "
,Standard Light Microscopy,1973-09-29,26.90,-67.50,150,,,2.564 ,,,,,,27.32 ,36.66 ,0.06 ,0.00 ,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. Nitrate includes nitrate, nitrite plus ammonium. "
,Standard Light Microscopy,1973-10-01,31.90,-70.50,150,,,0.400 ,,,,,,26.22 ,36.20 ,0.05 ,0.02 ,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. Nitrate includes nitrate, nitrite plus ammonium. "
,Standard Light Microscopy,1973-10-02,32.10,-69.90,175,,,0.514 ,,,,,,126.19 ,36.20 ,0.01 ,0.01 ,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. Nitrate includes nitrate, nitrite plus ammonium. "
,Standard Light Microscopy,1973-10-03,32.40,-70.10,175,,,0.310 ,,,,,,26.59 ,36.25 ,0.12 ,0.01 ,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. Nitrate includes nitrate, nitrite plus ammonium. "
,Standard Light Microscopy,1974-02-06,20.17,-72.10,200,,,0.265 ,,,,,,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
