SOURCE: Related article or authors,METHODS:                  Sampling/Analysis,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,DEPTH (m),Trichodesmium nifH Gene (x106 copies m-3),UCYN-A1 nifH Gene (x106 copies m-3),UCYN-A2/A3/A4 nifH Gene (x106 copies m-3),Total UCYN-A nifH Gene (x106 copies m-3),UCYN-B nifH Gene (x106 copies m-3),UCYN-C nifH Gene (x106 copies m-3),Richelia Associated Species,Total Richelia (het-1 +het-2) nifH Gene (x106 copies m-3),Richelia  (het-1 or RintRC02) nifH Gene (x106 copies m-3),Richelia  (het-2 or ReuHH01) nifH Gene (x106 copies m-3),Richelia  ( RrhiSC01) nifH Gene (x106 copies m-3),Temperature (˚C),Salinity (PSU),Nitrate (µM),Phosphate (µM),Fe (nM),SiO2 (µM),Chlorophyll  (mg m-3),Notes
"Bonnet et al. (2008), doi:10.5194/bg-5-215-2008",qPCR,10/31/2004,-9.00 ,-136.86 ,5.0 ,0.000 ,0.03 ,,0.03 ,0.000 ,,,,,,0.00 ,,,,,,,,
,qPCR,11/3/2004,-11.51 ,-134.35 ,5.0 ,0.000 ,0.00 ,,0.00 ,0.000 ,,,,,,0.00 ,,,,,,,,
,qPCR,11/4/2004,-13.31 ,-132.39 ,70.0 ,0.000 ,0.00 ,,0.00 ,0.000 ,,,,,,0.03 ,,,,,,,,
,qPCR,11/5/2004,-15.20 ,-130.20 ,5.0 ,0.000 ,0.00 ,,0.00 ,0.000 ,,,,,,0.00 ,,,,,,,,
,qPCR,11/6/2004,-16.87 ,-128.38 ,5.0 ,0.000 ,0.00 ,,0.00 ,0.000 ,,,,,,0.00 ,,,,,,,,
,qPCR,11/8/2004,-20.13 ,-123.41 ,5.0 ,0.000 ,,,,0.000 ,,,,,,0.00 ,,,,,,,,
,qPCR,11/9/2004,-22.00 ,-121.50 ,5.0 ,0.000 ,0.00 ,,0.00 ,0.000 ,,,,,,0.00 ,,,,,,,,
,qPCR,11/12/2004,-26.01 ,-113.99 ,5.0 ,0.000 ,0.18 ,,0.18 ,0.000 ,,,,,,0.00 ,,,,,,,,
,qPCR,11/21/2004,-28.44 ,-104.75 ,5.0 ,0.000 ,,,,0.000 ,,,,,,0.00 ,,,,,,,,
,qPCR,11/22/2004,-30.00 ,-101.50 ,5.0 ,0.000 ,0.00 ,,0.00 ,0.000 ,,,,,,0.00 ,,,,,,,,
,qPCR,11/23/2004,-29.92 ,-98.87 ,5.0 ,,0.00 ,,0.00 ,,,,,,,,,,,,,,,
,qPCR,11/24/2004,-30.70 ,-95.83 ,5.0 ,0.000 ,0.00 ,,0.00 ,0.000 ,,,,,,0.00 ,,,,,,,,
,qPCR,11/26/2004,-31.82 ,-91.44 ,5.0 ,0.000 ,0.00 ,,0.00 ,0.000 ,,,,,,0.00 ,,,,,,,,
