SOURCE: Data,SOURCE: Related article,METHODS:                  Sampling/Analysis,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,DEPTH (m),Trichodesmium Colonies (x103 m-3),Trichodesmium Free trichomes (x106 m-3),Trichodesmium Total Trichomes (x106 m-3),Trichodesmium Biomass Conversion factor (mg C/106 trichomes),Trichodesmium Biomass (mg C m-3),UCYN Cells (x106 m-3),UCYN Biomass Conversion factor (mg C/106 cells),UCYN Biomass (mg C m-3),Richelia Associated Species,Richelia Cells (x106 m-3),Richelia Biomass Conversion factor (mg C/106 cells),Calothrix Associated Species,Calothrix Cells  (x106 m-3),Calothrix Biomass Conversion factor (mg C/106 cells),Heterocyst (Richelia & Calotrhix) Biomass (mg C m-3),Total Diazotrophic Biomass (mg C m-3),Temperature (˚C),Salinity (PSU),Nitrate (µM),Phosphate (µM),Fe (nM),Chlorophyll  (mg m-3),Notes
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-07-09,13.20,-59.70,0,,,0.6680,30,20.040,,,,,,,,,,,20.040,27.50,32.67,,,,0.12,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-07-09,13.20,-59.70,5,,,0.5800,30,17.400,,,,,,,,,,,17.400,27.50,32.79,,,,,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-07-09,13.20,-59.70,10,,,0.6850,30,20.550,,,,,,,,,,,20.550,27.50,32.54,,,,0.20,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-07-09,13.20,-59.70,15,,,0.5110,30,15.330,,,,,,,,,,,15.330,27.50,32.80,,,,0.14,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-07-09,13.20,-59.70,25,,,0.4320,30,12.960,,,,,,,,,,,12.960,27.00,33.48,,,,0.19,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-07-09,13.20,-59.70,50,,,0.0430,30,1.290,,,,,,,,,,,1.290,26.10,35.88,,,,0.17,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-07-09,13.20,-59.70,75,,,0.0050,30,0.150,,,,,,,,,,,0.150,25.20,36.48,,,,0.11,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-07-09,13.20,-59.70,100,,,0.0030,30,0.090,,,,,,,,,,,0.090,24.90,36.77,,,,0.04,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-07-09,13.20,-59.70,175,,,0.0010,30,0.030,,,,,,,,,,,0.030,20.20,36.88,,,,0.01,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-07-23,13.20,-59.70,0,,,0.1570,30,4.710,,,,,,,,,,,4.710,28.40,32.28,,,,0.10,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-07-23,13.20,-59.70,5,,,0.5920,30,17.760,,,,,,,,,,,17.760,28.40,32.38,,,,0.12,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-07-23,13.20,-59.70,10,,,0.3480,30,10.440,,,,,,,,,,,10.440,28.20,32.58,,,,0.11,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-07-23,13.20,-59.70,15,,,0.2570,30,7.710,,,,,,,,,,,7.710,28.20,32.94,,,,0.19,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-07-23,13.20,-59.70,25,,,0.1550,30,4.650,,,,,,,,,,,4.650,27.90,33.63,,,,0.21,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-07-23,13.20,-59.70,50,,,0.0030,30,0.090,,,,,,,,,,,0.090,27.20,35.27,,,,0.40,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-07-23,13.20,-59.70,75,,,0.0000,30,0.000,,,,,,,,,,,0.000,25.70,36.51,,,,0.17,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-07-23,13.20,-59.70,100,,,0.0000,30,0.000,,,,,,,,,,,0.000,25.50,36.78,,,,0.07,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-07-23,13.20,-59.70,150,,,0.0000,30,0.000,,,,,,,,,,,0.000,24.30,37.07,,,,0.02,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-07-23,13.20,-59.70,175,,,0.0000,30,0.000,,,,,,,,,,,0.000,22.40,36.94,,,,0.01,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-08-07,13.20,-59.70,0,,,0.6680,30,20.040,,,,,,,,,,,20.040,27.90,33.45,,,,0.07,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-08-07,13.20,-59.70,5,,,0.7990,30,23.970,,,,,,,,,,,23.970,27.90,33.51,,,,0.07,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-08-07,13.20,-59.70,10,,,0.6680,30,20.040,,,,,,,,,,,20.040,27.90,33.55,,,,0.08,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-08-07,13.20,-59.70,15,,,0.7450,30,22.350,,,,,,,,,,,22.350,27.90,33.58,,,,0.08,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-08-07,13.20,-59.70,25,,,0.7600,30,22.800,,,,,,,,,,,22.800,27.90,34.02,,,,0.09,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-08-07,13.20,-59.70,50,,,0.1350,30,4.050,,,,,,,,,,,4.050,26.00,35.95,,,,0.14,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-08-07,13.20,-59.70,75,,,0.0130,30,0.390,,,,,,,,,,,0.390,25.20,36.76,,,,0.10,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-08-07,13.20,-59.70,100,,,0.0000,30,0.000,,,,,,,,,,,0.000,24.40,36.87,,,,0.05,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-08-07,13.20,-59.70,150,,,0.0010,30,0.030,,,,,,,,,,,0.030,21.30,36.87,,,,0.02,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-08-07,13.20,-59.70,175,,,0.0000,30,0.000,,,,,,,,,,,0.000,19.20,36.50,,,,0.02,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-08-21,13.20,-59.70,0,,,0.2850,30,8.550,,,,,,,,,,,8.550,27.80,33.66,,,,0.15,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-08-21,13.20,-59.70,5,,,0.2710,30,8.130,,,,,,,,,,,8.130,27.80,33.69,,,,0.18,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-08-21,13.20,-59.70,10,,,0.2970,30,8.910,,,,,,,,,,,8.910,27.80,33.75,,,,0.18,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-08-21,13.20,-59.70,15,,,0.6330,30,18.990,,,,,,,,,,,18.990,27.90,33.84,,,,0.15,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-08-21,13.20,-59.70,25,,,0.4730,30,14.190,,,,,,,,,,,14.190,27.90,34.02,,,,0.10,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-08-21,13.20,-59.70,50,,,0.0300,30,0.900,,,,,,,,,,,0.900,27.20,35.95,,,,0.11,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-08-21,13.20,-59.70,75,,,0.0040,30,0.120,,,,,,,,,,,0.120,25.80,36.37,,,,0.13,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-08-21,13.20,-59.70,100,,,0.0090,30,0.270,,,,,,,,,,,0.270,25.00,36.74,,,,0.08,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-08-21,13.20,-59.70,150,,,0.0000,30,0.000,,,,,,,,,,,0.000,21.50,36.84,,,,0.02,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-08-21,13.20,-59.70,175,,,0.0110,30,0.330,,,,,,,,,,,0.330,20.30,36.73,,,,0.01,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-09-03,13.20,-59.70,0,,,0.0820,30,2.460,,,,,,,,,,,2.460,28.30,33.11,,,,0.04,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-09-03,13.20,-59.70,5,,,0.1200,30,3.600,,,,,,,,,,,3.600,28.20,33.20,,,,0.04,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-09-03,13.20,-59.70,10,,,0.2070,30,6.210,,,,,,,,,,,6.210,28.30,33.33,,,,0.06,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-09-03,13.20,-59.70,15,,,0.0970,30,2.910,,,,,,,,,,,2.910,28.30,33.34,,,,0.08,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-09-03,13.20,-59.70,25,,,0.1370,30,4.110,,,,,,,,,,,4.110,28.30,33.40,,,,0.06,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-09-03,13.20,-59.70,50,,,0.0590,30,1.770,,,,,,,,,,,1.770,25.20,35.44,,,,0.10,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-09-03,13.20,-59.70,75,,,0.0030,30,0.090,,,,,,,,,,,0.090,26.10,36.16,,,,0.10,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-09-03,13.20,-59.70,100,,,0.0000,30,0.000,,,,,,,,,,,0.000,24.80,36.59,,,,0.05,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-09-03,13.20,-59.70,150,,,0.0000,30,0.000,,,,,,,,,,,0.000,22.60,36.53,,,,0.03,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-09-03,13.20,-59.70,175,,,0.0000,30,0.000,,,,,,,,,,,0.000,19.70,36.54,,,,,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-09-17,13.20,-59.70,0,,,0.0750,30,2.250,,,,,,,,,,,2.250,28.40,33.55,,,,0.08,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-09-17,13.20,-59.70,5,,,0.2160,30,6.480,,,,,,,,,,,6.480,28.40,33.55,,,,0.09,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-09-17,13.20,-59.70,10,,,0.2060,30,6.180,,,,,,,,,,,6.180,28.40,33.57,,,,0.09,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-09-17,13.20,-59.70,15,,,0.4950,30,14.850,,,,,,,,,,,14.850,28.40,33.61,,,,0.09,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-09-17,13.20,-59.70,25,,,0.1520,30,4.560,,,,,,,,,,,4.560,28.40,33.64,,,,0.09,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-09-17,13.20,-59.70,50,,,0.1590,30,4.770,,,,,,,,,,,4.770,27.50,35.71,,,,,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-09-17,13.20,-59.70,75,,,0.0060,30,0.180,,,,,,,,,,,0.180,25.40,36.75,,,,,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-09-17,13.20,-59.70,100,,,0.0000,30,0.000,,,,,,,,,,,0.000,24.30,36.73,,,,,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-09-17,13.20,-59.70,150,,,0.0000,30,0.000,,,,,,,,,,,0.000,21.90,36.73,,,,0.02,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-09-17,13.20,-59.70,175,,,0.0000,30,0.000,,,,,,,,,,,0.000,19.90,36.65,,,,0.01,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-10-03,13.20,-59.70,0,,,0.1220,30,3.660,,,,,,,,,,,3.660,28.30,33.15,,,,0.14,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-10-03,13.20,-59.70,10,,,0.1480,30,4.440,,,,,,,,,,,4.440,28.30,33.58,,,,0.14,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-10-03,13.20,-59.70,25,,,0.7590,30,22.770,,,,,,,,,,,22.770,28.30,33.65,,,,0.14,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-10-03,13.20,-59.70,50,,,0.0510,30,1.530,,,,,,,,,,,1.530,26.40,36.93,,,,0.22,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-10-03,13.20,-59.70,75,,,0.0000,30,0.000,,,,,,,,,,,0.000,25.30,36.62,,,,0.08,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-10-03,13.20,-59.70,100,,,0.0000,30,0.000,,,,,,,,,,,0.000,24.20,36.83,,,,0.05,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-10-03,13.20,-59.70,150,,,0.0000,30,0.000,,,,,,,,,,,0.000,21.90,36.72,,,,0.02,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-10-03,13.20,-59.70,175,,,0.0000,30,0.000,,,,,,,,,,,0.000,19.70,36.35,,,,0.00,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-10-15,13.20,-59.70,0,,,0.4170,30,12.510,,,,,,,,,,,12.510,28.30,34.25,,,,0.10,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-10-15,13.20,-59.70,5,,,0.5020,30,15.060,,,,,,,,,,,15.060,28.30,34.27,,,,0.10,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-10-15,13.20,-59.70,10,,,0.4840,30,14.520,,,,,,,,,,,14.520,28.30,34.27,,,,0.11,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-10-15,13.20,-59.70,15,,,0.3450,30,10.350,,,,,,,,,,,10.350,28.30,34.34,,,,0.11,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-10-15,13.20,-59.70,34,,,1.0490,30,31.470,,,,,,,,,,,31.470,28.00,34.44,,,,0.15,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-10-15,13.20,-59.70,49,,,0.3210,30,9.630,,,,,,,,,,,9.630,27.10,35.43,,,,0.19,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-10-15,13.20,-59.70,73,,,0.2240,30,6.720,,,,,,,,,,,6.720,26.20,36.31,,,,0.10,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-10-15,13.20,-59.70,97,,,0.0000,30,0.000,,,,,,,,,,,0.000,25.20,36.42,,,,0.10,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-10-15,13.20,-59.70,146,,,0.0000,30,0.000,,,,,,,,,,,0.000,22.80,36.87,,,,0.02,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-10-15,13.20,-59.70,170,,,0.0000,30,0.000,,,,,,,,,,,0.000,20.30,36.69,,,,0.02,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-10-29,13.20,-59.70,5,,,0.0770,30,2.310,,,,,,,,,,,2.310,28.00,34.54,,,,0.11,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-10-29,13.20,-59.70,25,,,0.1620,30,4.860,,,,,,,,,,,4.860,28.00,34.54,,,,0.14,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-10-29,13.20,-59.70,50,,,0.1260,30,3.780,,,,,,,,,,,3.780,27.50,35.82,,,,0.20,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-10-29,13.20,-59.70,75,,,0.0330,30,0.990,,,,,,,,,,,0.990,26.30,36.26,,,,0.14,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-10-29,13.20,-59.70,100,,,0.0270,30,0.810,,,,,,,,,,,0.810,25.00,36.63,,,,0.05,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-10-29,13.20,-59.70,150,,,0.0230,30,0.690,,,,,,,,,,,0.690,22.00,36.77,,,,0.04,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-10-29,13.20,-59.70,175,,,0.0000,30,0.000,,,,,,,,,,,0.000,19.50,36.68,,,,0.02,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-11-12,13.20,-59.70,5,,,0.0760,30,2.280,,,,,,,,,,,2.280,28.10,33.96,,,,0.07,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-11-12,13.20,-59.70,24,,,0.1000,30,3.000,,,,,,,,,,,3.000,28.10,34.01,,,,0.05,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-11-12,13.20,-59.70,33,,,0.1730,30,5.190,,,,,,,,,,,5.190,28.10,34.19,,,,0.08,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-11-12,13.20,-59.70,46,,,0.0720,30,2.160,,,,,,,,,,,2.160,26.00,36.23,,,,,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-11-12,13.20,-59.70,68,,,0.0180,30,0.540,,,,,,,,,,,0.540,25.70,36.68,,,,0.15,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-11-12,13.20,-59.70,91,,,0.0000,30,0.000,,,,,,,,,,,0.000,24.50,37.09,,,,0.06,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-11-12,13.20,-59.70,137,,,0.0020,30,0.060,,,,,,,,,,,0.060,23.90,36.97,,,,0.01,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-11-12,13.20,-59.70,160,,,0.0420,30,1.260,,,,,,,,,,,1.260,22.00,36.44,,,,0.13,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-11-29,13.20,-59.70,5,,,0.1940,30,5.820,,,,,,,,,,,5.820,27.70,34.51,,,,0.08,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-11-29,13.20,-59.70,15,,,0.1200,30,3.600,,,,,,,,,,,3.600,27.70,34.51,,,,0.08,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-11-29,13.20,-59.70,25,,,1.8880,30,56.640,,,,,,,,,,,56.640,27.70,34.52,,,,0.06,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-11-29,13.20,-59.70,35,,,0.3180,30,9.540,,,,,,,,,,,9.540,27.70,34.52,,,,0.08,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-11-29,13.20,-59.70,50,,,0.1690,30,5.070,,,,,,,,,,,5.070,27.80,34.69,,,,0.11,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-11-29,13.20,-59.70,74,,,0.0310,30,0.930,,,,,,,,,,,0.930,25.30,36.55,,,,0.11,
