SOURCE: Data,SOURCE: Related article,METHODS:                  Sampling/Analysis,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,INTEGRAL DEPTH (m),Trichodesmium Colonies (x103 m-2),Trichodesmium Free trichomes (x106 m-2),Trichodesmium Total Trichomes (x106 m-2),Trichodesmium Biomass Conversion factor (mg C/106 trichomes),Trichodesmium Biomass (mg C m-2),UCYN Cells (x106 m-2),UCYN Biomass Conversion factor (mg C/106 cells),UCYN Biomass (mg C m-2),Richelia Associated Species,Richelia Cells (x106 m-2),Richelia Biomass Conversion factor (mg C/106 cells),Calothrix Associated Species,Calothrix Cells  (x106 m-2),Calothrix Biomass Conversion factor (mg C/106 cells),Heterocyst (Richelia & Calotrhix) Biomass (mg C m-2),Total Diazotrophic Biomass (mg C m-2),Surface Temperature (˚C),Surface Salinity (PSU),Surface Nitrate (µM),Surface Phosphate (µM),Surface Fe (nM),Chlorophyll  (mg m-2),Notes
"Benavides, M., Instituto de Oceanografía y Cambio Global, mar.benavides101@doctorandos.ulpgc.es","Benavides et al. (2011), doi:10.3354/ame01534 ",Standard Light Microscopy,2009-07-26,41.50,-9.32,65,,0.0001,0.0001,30,0.003,,,,,,,,,,,0.003,18.60,35.70,0.61,0.06,,0.15,2-3 tows performed with 50 µm net
"Benavides, M., Instituto de Oceanografía y Cambio Global, mar.benavides101@doctorandos.ulpgc.es","Benavides et al. (2011), doi:10.3354/ame01534 ",Standard Light Microscopy,2009-07-27,41.50,-10.58,60,,0.0016,0.0016,30,0.047,,,,,,,,,,,0.047,19.75,35.87,0.13,0.02,,,2-3 tows performed with 50 µm net
"Benavides, M., Instituto de Oceanografía y Cambio Global, mar.benavides101@doctorandos.ulpgc.es","Benavides et al. (2011), doi:10.3354/ame01534 ",Standard Light Microscopy,2009-07-28,41.50,-12.26,62,,0.0027,0.0027,30,0.082,,,,,,,,,,,0.082,19.81,35.99,0.05,0.02,,0.02,2-3 tows performed with 50 µm net
"Benavides, M., Instituto de Oceanografía y Cambio Global, mar.benavides101@doctorandos.ulpgc.es","Benavides et al. (2011), doi:10.3354/ame01534 ",Standard Light Microscopy,2009-07-30,41.50,-15.29,67,,0.0007,0.0007,30,0.021,,,,,,,,,,,0.021,19.75,35.96,0.09,0.02,,,2-3 tows performed with 50 µm net
"Benavides, M., Instituto de Oceanografía y Cambio Global, mar.benavides101@doctorandos.ulpgc.es","Benavides et al. (2011), doi:10.3354/ame01534 ",Standard Light Microscopy,2009-07-31,41.50,-17.18,53,,0.0067,0.0067,30,0.202,,,,,,,,,,,0.202,18.95,35.87,0.05,0.03,,0.40,2-3 tows performed with 50 µm net
"Benavides, M., Instituto de Oceanografía y Cambio Global, mar.benavides101@doctorandos.ulpgc.es","Benavides et al. (2011), doi:10.3354/ame01534 ",Standard Light Microscopy,2009-08-01,41.44,-19.26,55,,0.0056,0.0056,30,0.169,,,,,,,,,,,0.169,19.14,35.89,0.15,0.05,,,2-3 tows performed with 50 µm net
"Benavides, M., Instituto de Oceanografía y Cambio Global, mar.benavides101@doctorandos.ulpgc.es","Benavides et al. (2011), doi:10.3354/ame01534 ",Standard Light Microscopy,2009-08-02,40.00,-20.00,70,,0.0041,0.0041,30,0.123,,,,,,,,,,,0.123,20.35,36.07,0.05,0.02,,0.06,2-3 tows performed with 50 µm net
"Benavides, M., Instituto de Oceanografía y Cambio Global, mar.benavides101@doctorandos.ulpgc.es","Benavides et al. (2011), doi:10.3354/ame01534 ",Standard Light Microscopy,2009-08-03,37.98,-20.01,80,,0.0201,0.0201,30,0.603,,,,,,,,,,,0.603,21.85,36.30,0.14,0.02,,,2-3 tows performed with 50 µm net
"Benavides, M., Instituto de Oceanografía y Cambio Global, mar.benavides101@doctorandos.ulpgc.es","Benavides et al. (2011), doi:10.3354/ame01534 ",Standard Light Microscopy,2009-08-04,36.50,-20.00,85,,0.0042,0.0042,30,0.125,,,,,,,,,,,0.125,22.94,36.63,0.05,0.02,,0.02,2-3 tows performed with 50 µm net
"Benavides, M., Instituto de Oceanografía y Cambio Global, mar.benavides101@doctorandos.ulpgc.es","Benavides et al. (2011), doi:10.3354/ame01534 ",Standard Light Microscopy,2009-08-05,34.99,-19.97,80,,0.0040,0.0040,30,0.121,,,,,,,,,,,0.121,23.96,36.60,0.08,0.02,,,2-3 tows performed with 50 µm net
"Benavides, M., Instituto de Oceanografía y Cambio Global, mar.benavides101@doctorandos.ulpgc.es","Benavides et al. (2011), doi:10.3354/ame01534 ",Standard Light Microscopy,2009-08-06,33.50,-20.00,105,,0.0032,0.0032,30,0.095,,,,,,,,,,,0.095,23.87,36.95,0.10,0.02,,0.50,2-3 tows performed with 50 µm net
"Benavides, M., Instituto de Oceanografía y Cambio Global, mar.benavides101@doctorandos.ulpgc.es","Benavides et al. (2011), doi:10.3354/ame01534 ",Standard Light Microscopy,2009-08-07,31.50,-20.00,105,,0.0184,0.0184,30,0.552,,,,,,,,,,,0.552,24.00,37.03,0.13,0.02,,,2-3 tows performed with 50 µm net
"Benavides, M., Instituto de Oceanografía y Cambio Global, mar.benavides101@doctorandos.ulpgc.es","Benavides et al. (2011), doi:10.3354/ame01534 ",Standard Light Microscopy,2009-08-08,30.50,-20.02,105,,0.0156,0.0156,30,0.469,,,,,,,,,,,0.469,23.94,37.07,0.05,0.03,,,2-3 tows performed with 50 µm net
"Benavides, M., Instituto de Oceanografía y Cambio Global, mar.benavides101@doctorandos.ulpgc.es","Benavides et al. (2011), doi:10.3354/ame01534 ",Standard Light Microscopy,2009-08-09,29.85,-19.19,90,,0.0103,0.0103,30,0.309,,,,,,,,,,,0.309,23.79,37.11,0.17,0.02,,,2-3 tows performed with 50 µm net
"Benavides, M., Instituto de Oceanografía y Cambio Global, mar.benavides101@doctorandos.ulpgc.es","Benavides et al. (2011), doi:10.3354/ame01534 ",Standard Light Microscopy,2009-08-10,29.55,-17.56,115,,0.0495,0.0495,30,1.485,,,,,,,,,,,1.485,23.98,37.10,0.03,0.05,,0.03,2-3 tows performed with 50 µm net
"Benavides, M., Instituto de Oceanografía y Cambio Global, mar.benavides101@doctorandos.ulpgc.es","Benavides et al. (2011), doi:10.3354/ame01534 ",Standard Light Microscopy,2009-08-11,29.25,-15.93,110,,0.0326,0.0326,30,0.977,,,,,,,,,,,0.977,23.58,36.98,0.05,0.04,,,2-3 tows performed with 50 µm net
"Benavides, M., Instituto de Oceanografía y Cambio Global, mar.benavides101@doctorandos.ulpgc.es","Benavides et al. (2011), doi:10.3354/ame01534 ",Standard Light Microscopy,2009-08-12,28.87,-14.10,80,,0.0027,0.0027,30,0.082,,,,,,,,,,,0.082,22.61,36.67,0.05,0.05,,0.15,2-3 tows performed with 50 µm net
"Benavides, M., Instituto de Oceanografía y Cambio Global, mar.benavides101@doctorandos.ulpgc.es","Benavides et al. (2011), doi:10.3354/ame01534 ",Standard Light Microscopy,2009-07-12,41.33,-9.57,60,,0.0789,0.0789,30,2.367,,,,,,,,,,,2.367,18.63,35.66,0.20,0.06,,,2-3 tows performed with 50 µm net
"Benavides, M., Instituto de Oceanografía y Cambio Global, mar.benavides101@doctorandos.ulpgc.es","Benavides et al. (2011), doi:10.3354/ame01534 ",Standard Light Microscopy,2009-07-13,41.29,-9.60,55,,0.0163,0.0163,30,0.488,,,,,,,,,,,0.488,18.53,35.66,0.27,0.02,,,2-3 tows performed with 50 µm net
"Benavides, M., Instituto de Oceanografía y Cambio Global, mar.benavides101@doctorandos.ulpgc.es","Benavides et al. (2011), doi:10.3354/ame01534 ",Standard Light Microscopy,2009-07-18,41.84,-9.06,30,,0.0279,0.0279,30,0.836,,,,,,,,,,,0.836,15.56,35.56,0.70,0.02,,,2-3 tows performed with 50 µm net
"Benavides, M., Instituto de Oceanografía y Cambio Global, mar.benavides101@doctorandos.ulpgc.es","Benavides et al. (2011), doi:10.3354/ame01534 ",Standard Light Microscopy,2009-07-19,41.61,-9.04,30,,0.0928,0.0928,30,2.785,,,,,,,,,,,2.785,15.08,35.93,1.34,0.18,,,2-3 tows performed with 50 µm net
"Benavides, M., Instituto de Oceanografía y Cambio Global, mar.benavides101@doctorandos.ulpgc.es","Benavides et al. (2011), doi:10.3354/ame01534 ",Standard Light Microscopy,2009-08-21,31.00,-10.01,30,,0.0000,0.0000,30,0.000,,,,,,,,,,,0.000,16.65,37.52,,1.36,,,2-3 tows performed with 50 µm net
"Benavides, M., Instituto de Oceanografía y Cambio Global, mar.benavides101@doctorandos.ulpgc.es","Benavides et al. (2011), doi:10.3354/ame01534 ",Standard Light Microscopy,2009-08-23,30.74,-10.65,60,,0.0019,0.0019,30,0.057,,,,,,,,,,,0.057,19.34,36.52,0.76,0.62,,,2-3 tows performed with 50 µm net
"Benavides, M., Instituto de Oceanografía y Cambio Global, mar.benavides101@doctorandos.ulpgc.es","Benavides et al. (2011), doi:10.3354/ame01534 ",Standard Light Microscopy,2009-08-24,30.90,-10.80,60,,0.0613,0.0613,30,1.840,,,,,,,,,,,1.840,19.93,36.37,1.39,0.72,,,2-3 tows performed with 50 µm net
