Date ,Station,Longitude,Latitude,Surface Nitrate,Surface N/P ratio,Maximum abundance of UCYN-A
(mm/dd/yy),,,,[μmol L-1],, [copies L-1]
12/02/18,L1,110.082048333333,-40.1125516666667,3.82,10.54,n.d.
12/03/18,L2,110.041001666667,-44.91111,9.82,14.03,n.d.
12/04/18,L3,110.00423,-50.10144,22.03,14.84,n.d.
12/05/18,L4,110.047066666667,-55.0776416666667,25.22,14.44,n.d.
12/06/18,L5,109.99069,-59.9745383333333,24.87,14.45,84
03/10/19,L6,149.929728333333,-64.061675,22.34,15.68,n.d.
03/11/19,L7,150.003286666667,-60.0268083333333,22.68,14.48,n.d.
03/13/19,L8,149.970331666667,-54.85419,17.19,13.82,98
03/14/19,L9,150.053965,-49.9018683333333,12.40,13.18,n.d.
03/15/19,L10,151.980481666667,-45.8865266666667,3.51,9.18,87
01/27/19,A,39.2290083333333,-69.0083383333333,23.19,15.64,149
02/03/19,B,38.6542033333333,-68.7222616666667,16.62,14.90,220
02/06/19,C,38.173585,-68.337285,27.22,14.76,n.d.
02/23/19,D,36.3935383333333,-67.9392133333333,28.31,15.50,129
02/23/19,E,37.07883,-67.4762016666667,28.70,15.01,129
02/24/19,BP,37.707065,-66.8510933333333,26.18,14.14,n.d.
02/25/19,EL,49.51949,-66.4677033333333,24.31,15.95,126
03/03/19,CD0,68.962775,-67.664732,17.19,14.12,n.d.
03/03/19,CD1,68.106885,-67.11663,26.25,13.24,n.d.
01/13/19,T,39.5861388888889,-69.4811666666667,0.20,1.12,124
02/02/19,N,39.6518611111111,-69.2240833333333,0.13,0.91,n.d.
n.d.: not detected,,,,,,
