SOURCE: Data,SOURCE: Related article,METHODS:                  Sampling/Analysis,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,DEPTH (m),Trichodesmium nifH Gene (x106 copies m-3),Trichodesmium Biomass Conversion factor (mg C/106 nifH copies),Trichodesmium Biomass (mg C m-3),UCYN-A nifH Gene (x106 copies m-3),UCYN-A Biomass Conversion factor (mg C/106 nifH copies),UCYN-B nifH Gene (x106 copies m-3),UCYN-B Biomass Conversion factor (mg C/106 nifH copies),UCYN-C nifH Gene (x106 copies m-3),UCYN-C Biomass Conversion factor (mg C/106 nifH copies),UCYN Biomass (mg C m-3),Richelia Associated Species,Richelia nifH Gene (x106 copies m-3),Richelia Biomass Conversion factor (mg C/106 nifH copies),Calothrix Associated Species,Calothrix nifH Gene  (x106 copies m-3),Calothrix Biomass Conversion factor (mg C/106 nifH copies),Heterocyst (Richelia & Calotrhix) Biomass (mg C m-3),Total Diazotrophic Biomass (mg C m-3),Temperature (˚C),Salinity (PSU),Nitrate (µM),Phosphate (µM),Fe (nM),Chlorophyll  (mg m-3),Notes,Gamma A nifH Gene (x106 copies/m3),Gamma P nifH Gene (x106 copies/m3),CIII nifH Gene (x106 copies/m3)
"Bonnet, S., Aix Marseille Université, sophie.bonnet@univmed.fr","Bonnet et al. (2008), doi:10.5194/bg-5-215-2008",qPCR,2004-10-31,-9.00,-136.86,5,0.0000,0.3,0.000 ,0.0270,0.0002,0.0000,0.02,,,0.0000,,,,Chaetoceros,0.0000,0.01,0.0000,0.000,,,,,,,,,,
"Bonnet, S., Aix Marseille Université, sophie.bonnet@univmed.fr","Bonnet et al. (2008), doi:10.5194/bg-5-215-2008",qPCR,2004-11-03,-11.51,-134.35,5,0.0000,0.3,0.000 ,0.0000,0.0002,0.0000,0.02,,,0.0000,,,,Chaetoceros,0.0000,0.01,0.0000,0.000,,,,,,,,,,
"Bonnet, S., Aix Marseille Université, sophie.bonnet@univmed.fr","Bonnet et al. (2008), doi:10.5194/bg-5-215-2008",qPCR,2004-11-04,-13.31,-132.39,70,0.0000,0.3,0.000 ,0.0000,0.0002,0.0000,0.02,,,0.0000,,,,Chaetoceros,0.0300,0.01,0.0003,0.000,,,,,,,,,,
"Bonnet, S., Aix Marseille Université, sophie.bonnet@univmed.fr","Bonnet et al. (2008), doi:10.5194/bg-5-215-2008",qPCR,2004-11-05,-15.20,-130.20,5,0.0000,0.3,0.000 ,0.0000,0.0002,0.0000,0.02,,,0.0000,,,,Chaetoceros,0.0000,0.01,0.0000,0.000,,,,,,,,,,
"Bonnet, S., Aix Marseille Université, sophie.bonnet@univmed.fr","Bonnet et al. (2008), doi:10.5194/bg-5-215-2008",qPCR,2004-11-06,-16.87,-128.38,5,0.0000,0.3,0.000 ,0.0000,0.0002,0.0000,0.02,,,0.0000,,,,Chaetoceros,0.0000,0.01,0.0000,0.000,,,,,,,,,,
"Bonnet, S., Aix Marseille Université, sophie.bonnet@univmed.fr","Bonnet et al. (2008), doi:10.5194/bg-5-215-2008",qPCR,2004-11-08,-20.13,-123.41,5,0.0000,0.3,0.000 ,,,0.0000,0.02,,,0.0000,,,,Chaetoceros,0.0000,0.01,0.0000,0.000,,,,,,,,,,
"Bonnet, S., Aix Marseille Université, sophie.bonnet@univmed.fr","Bonnet et al. (2008), doi:10.5194/bg-5-215-2008",qPCR,2004-11-09,-22.00,-121.50,5,0.0000,0.3,0.000 ,0.0000,0.0002,0.0000,0.02,,,0.0000,,,,Chaetoceros,0.0000,0.01,0.0000,0.000,,,,,,,,,,
"Bonnet, S., Aix Marseille Université, sophie.bonnet@univmed.fr","Bonnet et al. (2008), doi:10.5194/bg-5-215-2008",qPCR,2004-11-12,-26.01,-113.99,5,0.0000,0.3,0.000 ,0.1840,0.0002,0.0000,0.02,,,0.0000,,,,Chaetoceros,0.0000,0.01,0.0000,0.000,,,,,,,,,,
"Bonnet, S., Aix Marseille Université, sophie.bonnet@univmed.fr","Bonnet et al. (2008), doi:10.5194/bg-5-215-2008",qPCR,2004-11-21,-28.44,-104.75,5,0.0000,0.3,0.000 ,,,0.0000,0.02,,,0.0000,,,,Chaetoceros,0.0000,0.01,0.0000,0.000,,,,,,,,,,
"Bonnet, S., Aix Marseille Université, sophie.bonnet@univmed.fr","Bonnet et al. (2008), doi:10.5194/bg-5-215-2008",qPCR,2004-11-22,-30.00,-101.50,5,0.0000,0.3,0.000 ,0.0000,0.0002,0.0000,0.02,,,0.0000,,,,Chaetoceros,0.0000,0.01,0.0000,0.000,,,,,,,,,,
