SOURCE: Data,METHODS:                  Sampling/Analysis,DATE (mm/dd/yyyy),LATITUDE,LONGITUDE,DEPTH (m),Trichodesmium nifH Gene (x106 copies m-3),Trichodesmium Biomass Conversion factor (mg C/106 nifH copies),Trichodesmium Biomass (mg C m-3),UCYN-A1 nifH Gene (x106 copies m-3),UCYN-A2 nifH Gene (x106 copies m-3),UCYN-A nifH Gene (x106 copies m-3),UCYN-A Biomass Conversion factor (mg C/106 nifH copies),UCYN-B nifH Gene (x106 copies m-3),UCYN-B Biomass Conversion factor (mg C/106 nifH copies),UCYN-C nifH Gene (x106 copies m-3),UCYN-C Biomass Conversion factor (mg C/106 nifH copies),UCYN Biomass (mg C m-3),Richelia Associated Species,Richelia nifH Gene (x106 copies m-3),Richelia Biomass Conversion factor (mg C/106 nifH copies),Calothrix Associated Species,Calothrix nifH Gene  (x106 copies m-3),Calothrix Biomass Conversion factor (mg C/106 nifH copies),Heterocyst (Richelia & Calotrhix) Biomass (mg C m-3),Gamma 1 nifH Gene (x106 copies/m3),Gamma 2 nifH Gene (x106 copies/m3),Gamma 3 nifH Gene (x106 copies/m3),Gamma 4 nifH Gene (x106 copies/m3),Gamma nifH Gene (x106 copies/m3),alpha nifH Gene (x106 copies/m3),Beta nifH Gene (x106 copies/m3),CIII nifH Gene (x106 copies/m3),Total nifH Gene (x106 copies/m3),Total Diazotrophic Biomass (mg C m-3),Temperature (˚C),Salinity (PSU),Nitrate (µM),Phosphate (µM),N:P ratio,Fe (nM),Chlorophyll  (mg m-3),Notes
"Hannah Halm et al., 2012 ISME",qPCR,Dec 2006/Jan 2007,-27.91,-123.16,0.00,,,,,,0.00,,,,,,,,,,,,,,nan,nan,0.00,0.00,0.00,,,0.00,,,,,,,,,,
,qPCR,Dec 2006/Jan 2007,-27.91,-123.16,150.00,,,,,,0.00,,,,,,,,,,,,,,0.00,nan,0.00,nan,0.00,,,0.00,,,,,,,,,,
data shown in Table 2,qPCR,Dec 2006/Jan 2007,-27.73,-117.61,0.00,,,,,,0.00,,,,,,,,,,,,,,0.00,nan,0.00,0.61,0.61,,,0.30,,,,,,,,,,
,qPCR,Dec 2006/Jan 2007,-27.73,-117.61,220.00,,,,,,81.80,,,,,,,,,,,,,,7736.00,nan,0.00,nan,7736.00,,,0.00,,,,,,,,,,
,qPCR,Dec 2006/Jan 2007,-38.06,-133.10,0.00,,,,,,255.60,,,,,,,,,,,,,,0.00,nan,0.00,1.56,1.56,,,0.00,,,,,,,,,,
,qPCR,Dec 2006/Jan 2007,-38.06,-133.10,110.00,,,,,,nan,,,,,,,,,,,,,,0.00,nan,nan,1.17,1.17,,,nan,,,,,,,,,,
,qPCR,Dec 2006/Jan 2007,-39.31,-139.80,0.00,,,,,,0.30,,,,,,,,,,,,,,0.00,217.00,0.00,0.00,217.00,,,0.00,,,,,,,,,,
,qPCR,Dec 2006/Jan 2007,-39.31,-139.80,100.00,,,,,,nan,,,,,,,,,,,,,,1.20,1986.00,0.00,1.15,1988.35,,,nan,,,,,,,,,,
,qPCR,Dec 2006/Jan 2007,-41.85,-153.10,60.00,,,,,,144.70,,,,,,,,,,,,,,0.00,nan,nan,0.00,0.00,,,0.30,,,,,,,,,,
"Andreas Krupke et al., 2013. Systematic and applied microbiology",qPCR,12/3/2010,16.76,-25.12,0-1 m,,,,,,3690.00,,63.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
