SOURCE: Related article or authors,METHODS:                  Sampling/Analysis,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,DEPTH (m),Trichodesmium nifH Gene (x106 copies m-2),UCYN-A1 nifH Gene (x106 copies m-2),UCYN-A2 nifH Gene (x106 copies m-2),UCYN-A nifH Gene (x106 copies m-2),UCYN-B nifH Gene (x106 copies m-2),UCYN-C nifH Gene (x106 copies m-2),Richelia Associated Species,Total Richelia (het-1 +het-2) nifH Gene (x106 copies m-3),Richelia  (het-1 or RintRC02) nifH Gene (x106 copies m-3),Richelia  (het-2 or ReuHH01) nifH Gene (x106 copies m-3),Richelia  ( RrhiSC01) nifH Gene (x106 copies m-3),Calothrix nifH Gene  (x106 copies m-2),Temperature (˚C),Salinity (PSU),Nitrate (µM),Phosphate (µM),Fe (nM),Chlorophyll  (mg m-3),Notes
"Church et al. (2005a), doi:10.3354/ame038003",qPCR,12/14/2002,22.75,-158.00,200.00,271.12,,,11028.19,208.90,,,,,,,,,,,,,,Trichodesmium integrated down to 100 m  depth
"Church et al. (2005b), doi:10.1128/Aem.71.9.5362-5370.2005",qPCR,12/13/2002,22.75,-158.00,175.00,462.78,,,3678.99,33237.66,,Rhizosolenia,509.05,,,,,,,,,,,midnight sample
,qPCR,12/14/2002,22.75,-158.00,150.00,4861.12,,,14646.35,5.77,,Rhizosolenia,11193.78,,,,,,,,,,,noon sample
"Fong et al. (2008), doi:10.1038/ismej.2008.22",qPCR,7/16/2005,22.75,-158.00,100.00,18000.00,,,6400.00,260.00,,"Hemiaulus, Rhizosolenia",6810.00,,,,320.00,,,,,,,
,qPCR,7/26/2005,22.37,-157.50,100.00,17000.00,,,5800.00,2300.00,,"Hemiaulus, Rhizosolenia",430520.00,,,,810.00,,,,,,,
,qPCR,7/26/2005,22.45,-157.65,100.00,1800.00,,,1300.00,61.00,,"Hemiaulus, Rhizosolenia",3313.00,,,,150.00,,,,,,,
,qPCR,7/26/2005,22.55,-157.80,100.00,26000.00,,,7400.00,1900.00,,"Hemiaulus, Rhizosolenia",420250.00,,,,370.00,,,,,,,
,qPCR,7/26/2005,22.58,-157.88,100.00,27000.00,,,6400.00,400.00,,"Hemiaulus, Rhizosolenia",190290.00,,,,870.00,,,,,,,
,qPCR,7/26/2005,22.63,-157.95,100.00,34000.00,,,5400.00,190.00,,"Hemiaulus, Rhizosolenia",190200.00,,,,300.00,,,,,,,
,qPCR,7/26/2005,22.68,-158.05,100.00,11000.00,,,4600.00,1200.00,,"Hemiaulus, Rhizosolenia",251800.00,,,,1400.00,,,,,,,
