SOURCE: Data,SOURCE: Related article,METHODS:                  Sampling/Analysis,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,DEPTH (m),Trichodesmium nifH Gene (x106 copies m-2),Trichodesmium Biomass Conversion factor (mg C/106 nifH copies),Trichodesmium Biomass (mg C m-2),UCYN-A nifH Gene (x106 copies m-2),UCYN-A Biomass Conversion factor (mg C/106 nifH copies),UCYN-B nifH Gene (x106 copies m-2),UCYN-B Biomass Conversion factor (mg C/106 nifH copies),UCYN-C nifH Gene (x106 copies m-2),UCYN-C Biomass Conversion factor (mg C/106 nifH copies),UCYN Biomass (mg C m-2),Richelia Associated Species,Richelia nifH Gene (x106 copies m-2),Richelia Biomass Conversion factor (mg C/106 nifH copies),Calothrix Associated Species,Calothrix nifH Gene  (x106 copies m-2),Calothrix Biomass Conversion factor (mg C/106 nifH copies),Heterocyst (Richelia & Calotrhix) Biomass (mg C m-2),Total Diazotrophic Biomass (mg C m-2),Surface Temperature (˚C),Surface Salinity (PSU),Surface Nitrate (µM),Surface Phosphate (µM),Surface Fe (nM),Chlorophyll  (mg m-2),Notes,Proteobacteria nifH Gene (x106 copies/m2)
,"Church et al. (2005a), doi:10.3354/ame038003",qPCR,2002-12-14,22.75,-158.00,200,271.12,0.3,81.33,11028.19,0.0002,208.90,0.02,,,6.38,,,,,,,,87.72,,,,,,,Trichodesmium integrated down to 100 m  depth,
,"Church et al. (2005b), doi:10.1128/Aem.71.9.5362-5370.2005",qPCR,2002-12-13,22.75,-158.00,175,462.7817,0.3,138.83,3678.9883,0.0002,33237.6599,0.02,,,665.49,Rhizosolenia,509.0548,0.010,,,,5.0905,809.414,,,,,,,midnight sample,
,"Church et al. (2005b), doi:10.1128/Aem.71.9.5362-5370.2005",qPCR,2002-12-14,22.75,-158.00,150,4861.1240,0.3,1458.34,14646.3471,0.0002,5.7745,0.02,,,3.0448,Rhizosolenia,11193.7763,0.010,,,,111.9378,1573.320,,,,,,,noon sample,
,"Fong et al. (2008), doi:10.1038/ismej.2008.22",qPCR,2005-07-16,22.75,-158.00,100,18000.00,0.3,5400.00,6400.00,0.0002,260.00,0.02,,,6.48,"Hemiaulus, Rhizosolenia",6810.00,0.010,Chaetoceros,320.00,0.010 ,71.30,5477.78,,,,,,,,
,"Fong et al. (2008), doi:10.1038/ismej.2008.22",qPCR,2005-07-26,22.37,-157.50,100,17000.00,0.3,5100.00,5800.00,0.0002,2300.00,0.02,,,47.16,"Hemiaulus, Rhizosolenia",430520.00,0.010,Chaetoceros,810.00,0.010 ,4313.30,9460.46,,,,,,,,2900.00
,"Fong et al. (2008), doi:10.1038/ismej.2008.22",qPCR,2005-07-26,22.45,-157.65,100,1800.00,0.3,540.00,1300.00,0.0002,61.00,0.02,,,1.48,"Hemiaulus, Rhizosolenia",3313.00,0.010,Chaetoceros,150.00,0.010 ,34.63,576.11,,,,,,,,430.00
,"Fong et al. (2008), doi:10.1038/ismej.2008.22",qPCR,2005-07-26,22.55,-157.80,100,26000.00,0.3,7800.00,7400.00,0.0002,1900.00,0.02,,,39.48,"Hemiaulus, Rhizosolenia",420250.00,0.010,Chaetoceros,370.00,0.010 ,4206.20,12045.68,,,,,,,,3100.00
,"Fong et al. (2008), doi:10.1038/ismej.2008.22",qPCR,2005-07-26,22.58,-157.88,100,27000.00,0.3,8100.00,6400.00,0.0002,400.00,0.02,,,9.28,"Hemiaulus, Rhizosolenia",190290.00,0.010,Chaetoceros,870.00,0.010 ,1911.60,10020.88,,,,,,,,2200.00
,"Fong et al. (2008), doi:10.1038/ismej.2008.22",qPCR,2005-07-26,22.63,-157.95,100,34000.00,0.3,10200.00,5400.00,0.0002,190.00,0.02,,,4.88,"Hemiaulus, Rhizosolenia",190200.00,0.010,Chaetoceros,300.00,0.010 ,1905.00,12109.88,,,,,,,,2000.00
,"Fong et al. (2008), doi:10.1038/ismej.2008.22",qPCR,2005-07-26,22.68,-158.05,100,11000.00,0.3,3300.00,4600.00,0.0002,1200.00,0.02,,,24.92,"Hemiaulus, Rhizosolenia",251800.00,0.010,Chaetoceros,1400.00,0.010 ,2532.00,5856.92,,,,,,,,12000.00
