SOURCE: Data,METHODS:                  Sampling/Analysis,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,Integral DEPTH (m),Trichodesmium nifH Gene (x106 copies m-2),Trichodesmium Biomass Conversion factor (mg C/106 nifH copies),Trichodesmium Biomass (mg C m-2),UCYN-A1 nifH Gene (x106 copies m-2),UCYN-A2 nifH Gene (x106 copies m-2),UCYN-A nifH Gene (x106 copies m-2),UCYN-A Biomass Conversion factor (mg C/106 nifH copies),UCYN-B nifH Gene (x106 copies m-2),UCYN-B Biomass Conversion factor (mg C/106 nifH copies),UCYN-C nifH Gene (x106 copies m-2),UCYN-C Biomass Conversion factor (mg C/106 nifH copies),UCYN Biomass (mg C m-2),Richelia Associated Species,Richelia nifH Gene (x106 copies m-2),Richelia Biomass Conversion factor (mg C/106 nifH copies),Calothrix Associated Species,Calothrix nifH Gene  (x106 copies m-2),Calothrix Biomass Conversion factor (mg C/106 nifH copies),Heterocyst (Richelia & Calotrhix) Biomass (mg C m-2),Gamma 1 nifH Gene (x106 copies/m3),Gamma 2 nifH Gene (x106 copies/m3),Gamma 3 nifH Gene (x106 copies/m3),Gamma 4 nifH Gene (x106 copies/m3),Gamma nifH Gene (x106 copies/m3),alpha nifH Gene (x106 copies/m3),Beta nifH Gene (x106 copies/m3),CIII nifH Gene (x106 copies/m3),Total Diazotrophic Biomass (mg C m-2),Surface Temperature (˚C),Surface Salinity (PSU),Surface Nitrate (µM),Surface Phosphate (µM),N:P ratio,Surface Fe (nM),Chlorophyll  (mg m-2),Notes
"Takuhei Shiozaki et al., 2014. Continetal Shelf Research",qPCR,2010 May ,21.50,122.00,200,12000.00,,,,,6800.00,,14000.00,,,,,,,,,,,,,,,,,,,,,,,0.02,0.03,,,,
,qPCR,2010 May ,21.50,122.50,200,16000.00,,,,,2100.00,,8500.00,,,,,,,,,,,,,,,,,,,,,,,0.01,0.08,,,,
data shown in table 3,qPCR,2010 May ,21.00,120.00,200,2100.00,,,,,1300.00,,1500.00,,,,,,,,,,,,,,,,,,,,,,,0.01,0.03,,,,
,qPCR,2010 May ,21.00,119.50,200,1500.00,,,,,1700.00,,560.00,,,,,,,,,,,,,,,,,,,,,,,0.02,0.03,,,,
,qPCR,2010 May ,21.00,118.00,200,12000.00,,,,,860.00,,590.00,,,,,,,,,,,,,,,,,,,,,,,0.01,0.04,,,,
,qPCR,2010 May ,21.00,117.50,200,7000.00,,,,,1200.00,,540.00,,,,,,,,,,,,,,,,,,,,,,,0.01,0.03,,,,
,qPCR,2010 May ,21.00,117.00,200,8400.00,,,,,720.00,,320.00,,,,,,,,,,,,,,,,,,,,,,,0.02,0.03,,,,
,qPCR,2010 May ,21.00,116.50,200,1500.00,,,,,1200.00,,520.00,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,,,,
,qPCR,2010 September,21.50,122.50,200,3600.00,,,,,41.00,,34000.00,,,,,,,,,,,,,,,,,,,,,,,0.02,0.03,,,,
,qPCR,2010 September,21.00,120.00,200,1800.00,,,,,14.00,,1700.00,,,,,,,,,,,,,,,,,,,,,,,0.05,0.03,,,,
,qPCR,2010 September,21.00,119.50,200,3200.00,,,,,91.00,,1100.00,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,,,,
,qPCR,2010 September,21.00,119.00,200,1500.00,,,,,13.00,,1800.00,,,,,,,,,,,,,,,,,,,,,,,0.03,0.02,,,,
,qPCR,2010 September,21.00,118.00,200,1400.00,,,,,32.00,,440.00,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,,,,
,qPCR,2010 September,21.00,117.50,200,1100.00,,,,,95.00,,730.00,,,,,,,,,,,,,,,,,,,,,,,0.03,0.02,,,,
,qPCR,2010 September,21.00,117.00,200,1100.00,,,,,290.00,,250.00,,,,,,,,,,,,,,,,,,,,,,,0.08,0.02,,,,
,qPCR,2010 September,21.00,116.50,200,1400.00,,,,,Undetectable,,200.00,,,,,,,,,,,,,,,,,,,,,,,0.05,0.02,,,,
,qPCR,2010 December,21.50,122.50,200,1900.00,,,,,3000.00,,490.00,,,,,,,,,,,,,,,,,,,,,,,0.01,0.03,,,,
,qPCR,2010 December,21.00,120.00,200,990.00,,,,,3900.00,,750.00,,,,,,,,,,,,,,,,,,,,,,,0.28,0.07,,,,
,qPCR,2010 December,21.00,119.50,200,2500.00,,,,,4200.00,,1700.00,,,,,,,,,,,,,,,,,,,,,,,0.07,0.01,,,,
,qPCR,2010 December,21.00,119.00,200,1500.00,,,,,2900.00,,830.00,,,,,,,,,,,,,,,,,,,,,,,0.22,0.07,,,,
,qPCR,2010 December,21.00,118.00,200,2500.00,,,,,1900.00,,540.00,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,,,,
,qPCR,2010 December,21.00,117.50,200,2400.00,,,,,2400.00,,2300.00,,,,,,,,,,,,,,,,,,,,,,,0.19,0.08,,,,
,qPCR,2010 December,21.00,117.00,200,810.00,,,,,2600.00,,1500.00,,,,,,,,,,,,,,,,,,,,,,,0.07,0.06,,,,
