LATITUDE,LONGITUDE,Trichodesmium nifH Gene (x106 copies m-3),UCYN-A nifH Gene (x106 copies m-3),UCYN-B nifH Gene (x106 copies m-3),DEPTH (m)
-28,-123,0.0,0.0,0.0,0.0
-28,-123,0.0,0.0,0.0,150.0
-28,-118,0.0,0.0,0.0,0.0
-28,-118,0.0,81.8,0.0,220.0
-38,-133,0.0,255.6,0.0,0.0
-38,-133,0.0,0.0,0.0,110.0
-39,-140,0.0,0.3,0.0,0.0
-39,-140,0.0,0.0,0.0,100.0
-42,-153,0.0,144.7,0.0,60.0
17,-25,0.0,3690.0,63.1,0.0
17,-25,0.0,403.0,68.4,0.0
17,-25,0.0,123.0,60.6,0.0
21,122,463.86,19.27,91.15,5.0
21,122,254.84,37.98,249.27,23.0
21,122,16.33,50.05,185.48,61.0
21,122,6.35,45.86,4.25,83.0
21,122,2.09,86.64,5.24,110.0
21,122,5.19,8.67,5.51,142.0
21,122,8.22,1.02,0.0,200.0
21,122,161.79,4.06,42.55,5.0
21,122,266.67,9.31,113.73,15.0
21,122,429.76,7.81,160.42,30.0
21,122,186.61,28.68,144.96,50.0
21,122,1.58,33.54,29.13,75.0
21,122,4.13,4.7,1.56,100.0
21,122,4.05,2.91,0.0,140.0
21,122,0.0,0.0,0.0,200.0
21,120,28.59,10.74,56.33,5.0
21,120,10.12,9.62,45.41,15.0
21,120,62.17,20.67,28.93,30.0
21,120,8.28,11.04,4.71,50.0
21,120,2.09,3.33,2.47,70.0
21,120,3.23,2.98,0.0,100.0
21,120,7.13,5.39,0.0,150.0
21,120,1.15,1.61,0.0,200.0
21,120,96.87,10.27,26.86,5.0
21,120,20.14,8.5,16.01,12.0
21,120,13.37,46.39,4.38,33.0
21,120,14.38,21.01,1.3,45.0
21,120,3.51,2.78,1.33,77.0
21,120,3.49,1.61,1.16,100.0
21,120,1.42,2.32,1.33,150.0
21,120,1.26,1.25,0.0,200.0
21,118,807.22,15.58,4.03,5.0
21,118,173.75,13.85,2.57,22.0
21,118,9.55,2.84,3.28,59.0
21,118,8.33,1.84,1.68,80.0
21,118,5.57,0.0,0.72,100.0
21,118,2.04,2.66,4.24,138.0
21,118,2.23,3.38,2.14,200.0
21,118,307.6,15.07,0.0,5.0
21,118,303.64,53.2,2.6,20.0
21,118,67.35,14.87,5.45,26.0
21,118,1.6,7.37,5.79,54.0
21,118,6.06,2.55,6.82,74.0
21,118,2.49,1.19,1.34,127.0
21,117,243.14,11.64,1.6,5.0
21,117,573.61,18.92,2.22,11.0
21,117,16.9,3.23,1.66,28.0
21,117,5.43,2.14,1.12,39.0
21,117,12.33,3.16,1.95,66.0
21,117,6.51,2.06,1.69,100.0
21,117,0.0,2.76,1.62,150.0
21,117,2.15,2.44,1.48,200.0
21,116,48.41,16.97,2.33,5.0
21,116,22.78,20.45,2.47,13.0
21,116,24.31,21.41,3.71,36.0
21,116,4.73,9.23,7.02,49.0
21,116,1.78,0.0,3.22,83.0
21,116,2.54,2.39,2.07,100.0
21,116,4.53,2.54,1.16,150.0
21,116,0.0,2.16,1.13,200.0
21,122,11.01,0.0,173.28,5.0
21,122,3.57,1.23,110.12,15.0
21,122,33.07,1.44,233.63,30.0
21,122,4.86,0.0,95.6,50.0
21,122,11.09,0.0,2.33,75.0
21,122,61.57,0.0,1.8,100.0
21,122,24.79,0.0,1.73,115.0
21,122,7.25,0.0,0.0,150.0
21,122,16.63,0.0,0.0,200.0
21,120,26.17,1.1,5.05,5.0
21,120,10.45,0.0,3.23,30.0
21,120,11.16,0.0,4.02,50.0
21,120,12.97,0.0,3.49,100.0
21,120,5.26,0.0,0.0,120.0
21,120,2.59,0.0,0.0,200.0
21,120,5.81,2.1,2.57,5.0
21,120,67.48,0.0,4.84,15.0
21,120,54.37,0.0,5.44,40.0
21,120,8.67,0.0,3.7,54.0
21,120,2.63,0.0,0.0,93.0
21,120,4.07,0.0,1.22,100.0
21,120,7.94,0.0,0.0,200.0
21,119,8.07,1.06,3.36,5.0
21,119,13.85,0.0,4.75,30.0
21,119,15.58,0.0,7.26,50.0
21,119,19.21,0.0,0.0,80.0
21,119,2.96,0.0,1.1,100.0
21,119,0.0,0.0,0.0,200.0
21,118,13.09,2.65,3.38,5.0
21,118,8.1,1.52,2.28,15.0
21,118,9.47,0.0,4.23,30.0
21,118,22.3,0.0,2.46,50.0
21,118,6.15,0.0,0.0,75.0
21,118,3.5,0.0,1.54,150.0
21,118,0.0,0.0,0.0,200.0
21,118,2.19,1.79,2.05,5.0
21,118,11.45,1.59,2.15,30.0
21,118,3.87,1.64,0.0,50.0
21,118,1.8,0.0,1.62,75.0
21,118,11.31,0.0,0.0,100.0
21,118,0.0,0.0,1.01,200.0
21,117,13.4,0.0,1.13,5.0
21,117,4.46,2.31,1.05,13.0
21,117,18.96,6.93,0.0,34.0
21,117,10.95,0.0,2.31,47.0
21,117,5.5,0.0,1.04,80.0
21,117,7.84,3.95,0.0,100.0
21,117,0.0,0.0,1.48,150.0
21,117,0.0,0.0,0.0,200.0
21,116,11.53,0.0,4.34,5.0
21,116,16.31,0.0,0.0,30.0
21,116,15.18,0.0,0.0,50.0
